"EventID","PSComputerName","RunspaceId","PSShowComputerName","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"43","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3163","(1)","1","Information","Instalación iniciada: Windows ha comenzado a instalar la actualización siguiente: 9MVZQVXJBQ9V-Microsoft.AV1VideoExtension","Microsoft-Windows-WindowsUpdateClient","9MVZQVXJBQ9V-Microsoft.AV1VideoExtension {eba8ad0a-781b-427d-b042-67ed57e88f3d} 1","43","26/02/2026 16:46:56","26/02/2026 16:46:56","NT AUTHORITY\SYSTEM",,
"19","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3162","(1)","1","Information","Instalación correcta: Windows instaló correctamente la siguiente actualización: 9MZ95KL8MR0L-Microsoft.ScreenSketch","Microsoft-Windows-WindowsUpdateClient","9MZ95KL8MR0L-Microsoft.ScreenSketch {38278d44-44b1-4abe-b3a3-d48a9b7621c7} 1 {855e8a7c-ecb4-4ca3-b045-1dfa50104289}","19","26/02/2026 16:41:01","26/02/2026 16:41:01","NT AUTHORITY\SYSTEM",,
"16","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3161","(0)","0","Information","No se encontró la descripción del id. de evento '16' en el origen 'Microsoft-Windows-Kernel-General'. Es posible que el equipo local no tenga la información de registro o los archivos DLL de mensaje necesarios para mostrar el mensaje, o que usted no tenga permiso de acceso a los mismos. La siguiente información es parte del evento:'100', '\??\C:\Users\2-DAW\AppData\Local\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\Settings\settings.dat', '2', '1'","Microsoft-Windows-Kernel-General","100 \??\C:\Users\2-DAW\AppData\Local\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\Settings\settings.dat 2 1","16","26/02/2026 16:41:00","26/02/2026 16:41:00","DESKTOP-M7CM9BE\2-DAW",,
"43","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3160","(1)","1","Information","Instalación iniciada: Windows ha comenzado a instalar la actualización siguiente: 9MZ95KL8MR0L-Microsoft.ScreenSketch","Microsoft-Windows-WindowsUpdateClient","9MZ95KL8MR0L-Microsoft.ScreenSketch {38278d44-44b1-4abe-b3a3-d48a9b7621c7} 1","43","26/02/2026 16:41:00","26/02/2026 16:41:00","NT AUTHORITY\SYSTEM",,
"16","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3159","(0)","0","Information","No se encontró la descripción del id. de evento '16' en el origen 'Microsoft-Windows-Kernel-General'. Es posible que el equipo local no tenga la información de registro o los archivos DLL de mensaje necesarios para mostrar el mensaje, o que usted no tenga permiso de acceso a los mismos. La siguiente información es parte del evento:'134', '\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.ScreenSketch_11.2511.47.0_x64__8wekyb3d8bbwe\ActivationStore.dat', '0', '0'","Microsoft-Windows-Kernel-General","134 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.ScreenSketch_11.2511.47.0_x64__8wekyb3d8bbwe\ActivationStore.dat 0 0","16","26/02/2026 16:40:59","26/02/2026 16:40:59","NT AUTHORITY\SYSTEM",,
"19","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3158","(1)","1","Information","Instalación correcta: Windows instaló correctamente la siguiente actualización: 9MTSNNP9CVTN-AppUp.IntelManagementandSecurityStatus","Microsoft-Windows-WindowsUpdateClient","9MTSNNP9CVTN-AppUp.IntelManagementandSecurityStatus {48044290-8ada-4e9a-b395-d92981a3cf68} 1 {855e8a7c-ecb4-4ca3-b045-1dfa50104289}","19","26/02/2026 16:39:13","26/02/2026 16:39:13","NT AUTHORITY\SYSTEM",,
"16","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3157","(0)","0","Information","No se encontró la descripción del id. de evento '16' en el origen 'Microsoft-Windows-Kernel-General'. Es posible que el equipo local no tenga la información de registro o los archivos DLL de mensaje necesarios para mostrar el mensaje, o que usted no tenga permiso de acceso a los mismos. La siguiente información es parte del evento:'116', '\??\C:\Users\2-DAW\AppData\Local\Packages\AppUp.IntelManagementandSecurityStatus_8j3eq9eme6ctt\Settings\settings.dat', '3', '1'","Microsoft-Windows-Kernel-General","116 \??\C:\Users\2-DAW\AppData\Local\Packages\AppUp.IntelManagementandSecurityStatus_8j3eq9eme6ctt\Settings\settings.dat 3 1","16","26/02/2026 16:39:13","26/02/2026 16:39:13","DESKTOP-M7CM9BE\2-DAW",,
"43","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3156","(1)","1","Information","Instalación iniciada: Windows ha comenzado a instalar la actualización siguiente: 9MTSNNP9CVTN-AppUp.IntelManagementandSecurityStatus","Microsoft-Windows-WindowsUpdateClient","9MTSNNP9CVTN-AppUp.IntelManagementandSecurityStatus {48044290-8ada-4e9a-b395-d92981a3cf68} 1","43","26/02/2026 16:39:13","26/02/2026 16:39:13","NT AUTHORITY\SYSTEM",,
"16","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3155","(0)","0","Information","No se encontró la descripción del id. de evento '16' en el origen 'Microsoft-Windows-Kernel-General'. Es posible que el equipo local no tenga la información de registro o los archivos DLL de mensaje necesarios para mostrar el mensaje, o que usted no tenga permiso de acceso a los mismos. La siguiente información es parte del evento:'148', '\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\AppUp.IntelManagementandSecurityStatus_2537.8.7.0_x64__8j3eq9eme6ctt\ActivationStore.dat', '0', '0'","Microsoft-Windows-Kernel-General","148 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\AppUp.IntelManagementandSecurityStatus_2537.8.7.0_x64__8j3eq9eme6ctt\ActivationStore.dat 0 0","16","26/02/2026 16:39:12","26/02/2026 16:39:12","NT AUTHORITY\SYSTEM",,
"44","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3154","(1)","1","Information","Windows Update comenzó a descargar una actualización.","Microsoft-Windows-WindowsUpdateClient","9MTSNNP9CVTN-AppUp.IntelManagementandSecurityStatus {48044290-8ada-4e9a-b395-d92981a3cf68} 1","44","26/02/2026 16:38:14","26/02/2026 16:38:14","NT AUTHORITY\SYSTEM",,
